,BAB,CS,GermanBond10Y,GermanyEq,Gold,JapanBond10Y,JapanEq,Oil,TRCommodity,UKEq,UMD_Large,UMD_Small,USBond10Y,USEq
1938-08-31,0.33913949414735434,,0.02844904368627291,0.027435102099853635,0.13065406727106332,0.12664659249616114,0.03799040111056682,0.02412221632137772,0.046205072371029755,0.07981060905581278,,,0.11703189240509794,0.042515509035409786
1939-08-31,0.4123121297322908,,0.03773768874698173,0.017471554084933862,0.0993544092267079,0.08891799443160185,0.021087652526965532,0.018367915643274262,0.081396403904501,0.06191954033541993,,,0.0988635494996994,0.06257116186762375
1940-08-31,0.4354784738369315,,0.03802633883348078,0.03457979514237309,0.09825311322642376,0.08893026828005865,0.02106655362202591,0.033895353485697624,0.04933315449611453,0.055006921251375344,,,0.09735099659841862,0.04807903122710021
1941-08-31,0.445074825359661,,0.039495967532666626,0.03420994259873155,0.11808197856110203,0.08842390207643674,0.01914882060838206,0.03359680815703244,0.048866690734960444,0.04265336877178512,,,0.08261014297344635,0.04783755262579563
1942-08-31,0.45404740195812643,,0.03935180941810078,0.03356625680472628,0.11586829085158137,0.08632435670267388,0.019074493938283962,0.03307192475139227,0.04859344548910319,0.042889077977239995,,,0.0803251249079002,0.04688781720087162
1943-08-31,0.46047027358392,,0.03933309440152513,0.03314456612703503,0.11363987706768691,0.08465777289282615,0.018960396330108206,0.032735503535453646,0.04868867712746768,0.043594173914110246,,,0.07848362223996412,0.046292042779902974
1944-08-31,0.4671321732380556,,0.03928735961836367,0.03266525827030696,0.11126221985699448,0.0830622979340384,0.01882485451060998,0.032344027264402345,0.04865703903498787,0.04441024619650427,,,0.07672448886365134,0.04563003521208517
1945-08-31,0.4722441080058275,,0.03931345835361809,0.032262228742295736,0.10942227793273772,0.08173869276422902,0.018773457526018097,0.032014824272552325,0.04868996177679112,0.04521883418776587,,,0.07523209742131315,0.04509005901685133
1946-08-31,0.47855254798307606,,0.039308515424575266,0.03189332934410993,0.10694596082444713,0.080468608776381,0.018438888824376946,0.03172330208327585,0.048751938790906904,0.04557928503113509,,,0.07379440262861021,0.044543220289105664
1947-08-31,0.4821676085961266,,0.03962797108461034,0.0317524213605149,0.10594600955113052,0.07991630047399254,0.018145811388586064,0.03163054233848078,0.046390329481250304,0.0464516424440564,,,0.07303084618021274,0.044940517101038836
