,6040,all-weather (original),all-weather (star),risk_parity (tier 2),risk_parity (tier 3),hrp (tier 2),hrp (tier 3),hrp_dd (tier 2),hrp_dd (tier 3),hrp_beta (tier 2),hrp_beta (tier 3),hrp_val (tier 2),hrp_val (tier 3),hrp_strc (tier 2)
1991-02-28,130.2706267490014,9.49700300433848,,9.6804764474538,,8.135538515638961,,8.543777481718632,,8.27508612503144,,8.920542257284051,,7.26930816669086
1991-03-31,132.4631732889202,9.591639725885239,,9.72597828694039,,8.157656503397867,,8.6114398962641,,8.329829628385948,,8.944799008544486,,7.299219007539467
1991-04-30,133.09154618591333,9.64069100237864,,9.804794649552482,,8.203718960422046,,8.678397379807354,,8.38635505129552,,9.029959719168334,,7.365700285703722
1991-05-31,136.88124188900377,9.7996783798665,,9.920873585595814,,8.280448183463417,,8.799146055531955,,8.475404248820768,,9.113022864504048,,7.4466779304826805
1991-06-30,132.63621562707633,9.61391076376189,,9.743916139025014,,8.118989655027336,,8.628763520194285,,8.289134050087588,,8.97765426960833,,7.330334013835203
1991-07-31,136.97398111109368,9.81727978314792,,9.86786765663836,,8.21844578901003,,8.762660801331176,,8.414575591253785,,9.043274804528755,,7.41285932153015
1991-08-31,140.67888185491657,10.032158508204205,,9.962519833200632,,8.201644945022137,,8.893103660029107,,8.428582612578273,,9.112784980244829,,7.50566247406873
1991-09-30,140.78278919250118,10.166408646596057,,10.12336844107609,,8.357464390692789,,9.003913858248396,,8.552120669355789,,9.246543513771528,,7.6466031213784085
1991-10-31,142.2893980855335,10.258121985471021,,10.187774335813577,,8.421888351003684,,9.062786427576006,,8.609201133918102,,9.294423654945582,,7.695425892048361
1991-11-30,139.39229665161423,10.193324126074895,,10.118875813845598,,8.339952116305321,,8.984623438890996,,8.487805221002754,,9.275831359878973,,7.668646110260744
1991-12-31,152.00324721387102,10.82337241087994,,10.331523246256777,,8.399582838609557,,9.243689336849068,,8.58916646474294,,9.371269704920113,,7.890677395728098
1992-01-31,148.18149089424315,10.569505893235423,,10.396149179679044,,8.419984532015663,,9.325665701063569,,8.68894988029265,,9.398761778133448,,7.93673903601869
1992-02-29,149.86323689902565,10.65324620736862,,10.428847971412534,,8.421658287419413,,9.364983173245914,,8.721504179776,,9.41861594298511,,7.97446004123672
1992-03-31,147.34866320919016,10.491450406125063,,10.282077618731316,,8.301400534063944,,9.243391746346177,,8.602502768368314,,9.25390207492708,,7.8846854779243465
1992-04-30,150.04092361658172,10.560768050521482,,10.264078090860068,,8.219192667062043,,9.28493191134492,,8.613780866799916,,9.20134637213876,,7.882122012987288
1992-05-31,152.01957207577698,10.741522523317398,,10.44457602767513,,8.3620030937832,,9.431707516226236,,8.747628210902546,,9.38122817222753,,8.017510294938859
1992-06-30,151.82632729714504,10.826445171104762,,10.404672681402115,,8.372198323382962,,9.380742356892886,,8.709761324570207,,9.306892080882415,,8.014992404261672
1992-07-31,157.73834335331514,11.183919748303609,,10.450268010097329,,8.426783296198286,,9.42448270880308,,8.696542022678821,,9.324071126666071,,8.081004261575956
1992-08-31,156.61642158652904,11.145029501335312,,10.461131228284973,,8.42867582753128,,9.440605341996834,,8.639995041721045,,9.353595277010433,,8.11707848648233
1992-09-30,159.21218378005085,11.349783986192687,,10.65545626678542,,8.550408693485231,,9.669809355930987,,8.823783812500677,,9.464321384773681,,8.29068558074045
1992-10-31,157.9015432159627,11.176898618096777,,10.714117198882523,,8.533672854701736,,9.779085154218519,,8.888808689624625,,9.482746884217732,,8.352458115282325
1992-11-30,160.78023344772072,11.261034752472563,,10.850432601113996,,8.605440535213942,,9.933059140147602,,9.01123713729008,,9.6061689094287,,8.452243912938448
1992-12-31,163.48061872097466,11.446548997112076,,10.993371224371227,,8.688381408933198,,10.085992481254856,,9.119327805103616,,9.709147702596924,,8.581076394240222
1993-01-31,166.12634014890688,11.630560599675672,,11.09385855926109,,8.712090574813127,,10.146826408155523,,9.145974296267624,,9.776971461715066,,8.688065844400262
1993-02-28,169.63846323467362,11.893540275621437,,11.393731025229357,,8.907661537529926,,10.39797475966738,,9.319921892409813,,9.992609576436688,,8.94304846652337
1993-03-31,172.1025020986899,12.068026458392417,,11.572709544056382,,9.10756440916524,,10.608432346445898,,9.517990671560689,,10.266584388087972,,9.058665852232563
1993-04-30,169.87559172217942,12.04099726418618,,11.608784724584963,,9.200999176139206,,10.616190867529395,,9.545185877548032,,10.429725377925683,,9.058495417590011
1993-05-31,172.33506822005572,12.164058260942298,,11.684291818983615,,9.27960891460687,,10.70810614444496,,9.699549860101346,,10.514542407835583,,9.126638304867752
1993-06-30,174.87587424403637,12.386593629198385,,11.834711168726724,,9.343872949565165,,10.8191291573306,,9.790873414751818,,10.60746157717359,,9.272926526580791
1993-07-31,174.650182670817,12.501690678700633,,12.133348026474923,,9.668183139114912,,11.09368759377112,,10.078741504081679,,10.951847992047464,,9.486841621220407
1993-08-31,180.95839540998332,12.78421221807626,,12.355841712979636,,9.670470423209954,,11.325750356269651,,10.147757943316037,,11.073809258501452,,9.704000901094142
1993-09-30,180.76093614234338,12.769241985055997,,12.338237600267464,,9.63091628468044,,11.276189636697948,,10.050939956553101,,10.986935406691156,,9.690879682450833
1993-10-31,183.11398181649412,12.908016643557328,,12.61490995336426,,9.825820628691329,,11.546944572623026,,10.302168175679824,,11.203483948783463,,9.930368860731868
1993-11-30,180.21769720512793,12.693737270000582,,12.522290890601445,,9.775507230565927,,11.45922765826889,,10.26684717020245,,10.952533236566547,,9.862125157197852
1993-12-31,181.86256850006947,12.862109762546286,,12.91842376092478,,10.074643756341407,,11.863739652115573,,10.665903905203683,,11.3174404708292,,10.163108102801942
1994-01-31,186.6310168718092,13.10567342991001,,13.042588531417081,,10.27534816629632,,12.069155486886546,,10.795531530858165,,11.449760536854573,,10.341669029442961
1994-02-28,181.5016487621056,12.801237548840074,,12.770399260524046,,10.139155720340849,,11.802414259650808,,10.602895461496834,,11.267637059253772,,10.15999484355481
1994-03-31,173.8957754350967,12.380122141652876,,12.563318879166987,,10.026096488991953,,11.563133686009756,,10.4482355530717,,11.152691666899639,,9.987639870964967
1994-04-30,174.19232373179352,12.32842720862671,,12.615578294797483,,10.100002787398696,,11.64789198177302,,10.519469351006903,,11.233273417741763,,10.042092662215484
1994-05-31,175.79756219124877,12.473785780930598,,12.728331999897888,,10.344804748917017,,11.75215605290908,,10.651586619545,,11.40385307238436,,10.182267941686034
1994-06-30,172.72594884075022,12.37918489307039,,12.654717483280592,,10.373755136575372,,11.697118117134925,,10.621393690123556,,11.38727185150199,,10.14174139558981
1994-07-31,177.6789421151466,12.665655921108243,,12.85566743791285,,10.50552504145361,,11.942751781862025,,10.847488560035849,,11.567008570280212,,10.289972621402407
1994-08-31,182.20339941338392,12.776319377560023,,12.76921607889621,,10.3689235277864,,11.918573815619526,,10.854734757720419,,11.470733766802406,,10.245464588289535
1994-09-30,177.74240709709122,12.534080567571555,,12.581135091100055,,10.24831218239162,,11.694006077645206,,10.678315669849063,,11.284248067377554,,10.075219415100204
1994-10-31,179.74444444142085,12.558302265546981,,12.610696315066871,,10.25225998718736,,11.769846853220875,,10.72446519127568,,11.288336075159865,,10.092202280859967
1994-11-30,175.58502933326577,12.398192617160067,,12.562949593105927,,10.176966460241763,,11.691537284281523,,10.639471386700611,,11.21767026521792,,10.015134679315084
1994-12-31,177.96787714862273,12.555131454123948,,12.68366546828789,,10.307296315692177,,11.801396635681044,,10.738916421147753,,11.359452616868722,,10.12563880921907
1995-01-31,182.43759393011297,12.789700061276044,,12.669924838196305,,10.223736205822512,,11.784516012739667,,10.734317510733746,,11.201298572674748,,10.140732791247506
1995-02-28,189.1931293603723,13.196789200001842,,12.893147811735528,,10.307007383800496,,11.987115929058263,,10.941156731122426,,11.277458734709587,,10.334606650067121
1995-03-31,193.1142546843182,13.423583072494502,,13.195870831064859,,10.536959067906997,,12.271682908423298,,11.231869513955527,,11.391532683338134,,10.626859986090084
1995-04-30,197.73898056591756,13.674762897547836,,13.447289317368975,,10.699920699591981,,12.531784577354642,,11.426877973027686,,11.595805138612343,,10.823357323096795
1995-05-31,207.47632273704147,14.294101221934312,,13.85768493519658,,10.836030286953422,,12.869021158176789,,11.735155588020287,,11.766547580449464,,11.207130336835885
1995-06-30,211.36597320624844,14.468348492955403,,13.805080611534683,,10.720053367599533,,12.811671167684867,,11.760580633259675,,11.693059062787647,,11.16697788484868
1995-07-31,214.6012153927606,14.522274002003282,,14.00064040995767,,10.865101565565896,,13.085753421752369,,11.929035909864213,,11.955931740097084,,11.297176788378266
1995-08-31,216.40532912158858,14.698529850360012,,14.136959144910069,,11.023172092354246,,13.236524834103989,,12.046348504727492,,12.135392070580881,,11.378280019789534
1995-09-30,223.13170249061972,15.001524335097042,,14.350123428995182,,11.12875515022307,,13.440600492043822,,12.230601331898622,,12.237628172231146,,11.578751311922868
1995-10-31,223.94954407510033,15.118073032560506,,14.42183124829863,,11.179642434288068,,13.505406628542996,,12.286047035928899,,12.240265462470823,,11.647009407707968
1995-11-30,232.1768688242332,15.570369006774559,,14.768810499775363,,11.424840993208424,,13.871879106127935,,12.614937901588235,,12.54385601799748,,11.917387374584166
1995-12-31,236.5520957075189,15.877779647132815,,15.014540493646198,,11.692257260365817,,14.15188277044087,,12.824031652565713,,12.82097612220649,,12.061135828544971
1996-01-31,241.68210533008687,16.139360087474806,,15.333387189753902,,11.902012639969852,,14.46892488389582,,13.171061881311896,,13.183642796589456,,12.38146324545916
1996-02-29,239.83067882762805,15.916502863803766,,15.13543343948285,,11.723785545764349,,14.361913137116288,,13.021255671653654,,13.07438171575469,,12.22043785613766
1996-03-31,240.318137084895,15.939676594910454,,15.340959996688047,,11.93295202092811,,14.581597980781533,,13.097485461836138,,13.271289046535289,,12.365965896699418
1996-04-30,240.89897954714368,15.895038874909847,,15.468054885564072,,11.983592078398512,,14.806016340658312,,13.192041418346586,,13.417946637155152,,12.462551205794103
1996-05-31,244.0804190171263,15.948597126443456,,15.508282407711627,,12.007659506521907,,14.847530832574524,,13.250813350894244,,13.442688079105695,,12.487319682119473
1996-06-30,245.95584572288215,16.088057893786047,,15.56478871797039,,12.022752001347234,,14.88753048950906,,13.269744668154532,,13.509153161433865,,12.545899827931052
1996-07-31,239.09834237613697,15.84601197566042,,15.391236733056335,,11.936577700119539,,14.676832214969064,,13.100820121831324,,13.308602286585497,,12.340940640873
1996-08-31,241.7185286895824,15.976611438399871,,15.694215064364476,,12.169343612814615,,15.026237044849102,,13.347769732821813,,13.592063931011548,,12.52441077412877
1996-09-30,252.39316019277572,16.450939130381673,,16.032053411880923,,12.335454227135342,,15.405354189580667,,13.663975868700971,,13.861008009212478,,12.805815397438051
1996-10-31,259.7176895351634,16.854088730289526,,16.189735968910455,,12.425512979375325,,15.554992342456563,,13.849076447365867,,13.919711997441654,,12.887801805671918
1996-11-30,274.9051060031422,17.570679690736235,,16.65978240784812,,12.662475505808551,,16.09896845161446,,14.283092743149274,,14.308088448576667,,13.239392896364226
1996-12-31,269.2383002455468,17.278559815398985,,16.592880977787832,,12.605433627675996,,16.05762743766176,,14.210896277957623,,14.290449116259307,,13.140107893644938
1997-01-31,279.12133262140435,17.502049843986267,,16.725833665092377,,12.385664000118735,,16.32515649977315,,14.271123357266552,,14.14703578667316,,13.05093963646545
1997-02-28,280.8156286016707,17.59936497769647,,16.967908372882825,,12.575163812098852,,16.52615694313351,,14.471860227665017,,14.429732003585777,,13.296007827929815
