,6040,all-weather (original),all-weather (star),risk_parity (tier 2),risk_parity (tier 3),hrp (tier 2),hrp (tier 3),hrp_dd (tier 2),hrp_dd (tier 3),hrp_beta (tier 2),hrp_beta (tier 3),hrp_val (tier 2),hrp_val (tier 3),hrp_strc (tier 2)
1967-12-31,15.015744058079315,1.1625876310578798,,1.147802507288618,,1.1889715094924946,,1.1434394761649997,,1.1536416343897988,,1.1014043097504158,,1.153092001293153
1968-01-31,14.746328560659368,1.1606743956490098,,1.1625102823233477,,1.2028500792657466,,1.1570051829418366,,1.169966952694743,,1.1107249068678762,,1.1641959246848896
1968-02-29,14.51862532476541,,,,,,,,,,,,,
1968-03-31,14.557203672775948,1.1672417239564943,,1.203677144786077,,1.2780661456252687,,1.2060653242398969,,1.2326990970659504,,1.1383465791550011,,1.1912296104663989
1968-04-30,15.302424968839617,1.1971796106991706,,1.2171171302104022,,1.277001840732579,,1.2175619324180786,,1.2440666623686052,,1.1586207035236877,,1.2089181800788067
1968-05-31,15.415424895177573,1.2059351144151256,,1.247019511733528,,1.3316748475906781,,1.2532473019580899,,1.290703234728178,,1.1792103845437567,,1.231185257445159
1968-06-30,15.655393856484746,1.2203980441610958,,1.250586835742157,,1.319978704791071,,1.2523793346234422,,1.2890277170288997,,1.1872527658255974,,1.238834405782557
1968-07-31,15.652475091452914,1.2239035044266642,,1.2429609684016845,,1.2891596734259771,,1.2372099958407874,,1.2697263074185026,,1.1863128228488096,,1.239084355645557
1968-08-31,15.797099579532365,1.233806863373475,,1.2642243946337948,,1.316822043762678,,1.260474468089773,,1.297052214565305,,1.2037711454501758,,1.2567859801396963
1968-09-30,16.179584410475833,1.2483194200394574,,1.271695080684823,,1.3225568295860095,,1.2689664239746044,,1.3066233976949988,,1.2135919584131756,,1.265649628619418
1968-10-31,16.24643616761235,1.2500693258554614,,1.2670525548762888,,1.310902271718069,,1.263198097449573,,1.294370807591971,,1.2126822795113643,,1.2642647702813925
1968-11-30,16.695155057454627,1.2675227519969354,,1.2779203460611384,,1.3285465735181934,,1.2771227302607944,,1.3086810021184336,,1.2246650622111661,,1.274490190014636
1968-12-31,16.139466887099502,1.2407472842216853,,1.2949598107486873,,1.3655216043727472,,1.2954622726622669,,1.3332682948713892,,1.2336440793467194,,1.2842085980956082
1969-01-31,16.10297497333243,1.2425757414113305,,1.3114700678449212,,1.385312462915214,,1.3120047184549783,,1.3480420254346854,,1.2482705913549106,,1.2992989785198756
1969-02-28,15.671095449298594,1.2268920584960998,,1.3036553113259888,,1.3810376125601487,,1.3023440650180618,,1.3348829603020331,,1.2397506412086194,,1.2876818487115662
1969-03-31,16.02679533332832,1.2416315404668907,,1.3125346936331304,,1.3930261513783904,,1.3140884186457915,,1.3466697683112994,,1.2478932339748818,,1.2952153209140116
