Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_TFTASD,UK FTSE All-Share Return Index (w/GFD extension),Total Return Indices - Stocks,United Kingdom Pound,United Kingdom,,,,,,,Index Number,Units,Stock,none,Monthly From Jun 1933 To Dec 1964<BR>Daily From Dec 1964 To Feb 2019<BR>,"Sources: Thorold Rogers, A History of Prices in England, (1693-1697), Larry Neal, The Rise of Financial Capitalism: International Capital Markets in the Age of Reason, New York: Cambridge Univ. Press, 1990 (1698-January 1811), W. W. Rostow and Anna J. Schwartz, The Growth and Fluctuation of the British Economy 1790-1850), (2 vols.), Oxford: Oxford U.P., 1953, p. 368, (February 1811-December 1850), Hayek as given in Rostow, ibid., p. 456 (January 1851-June 1867), K.C. Smith and G.F. Horne, An Index Number of Securities, 1867-1914, London and Cambridge Economic Service Special Memorandum No. 37, (July 1867-December 1906), Banker`s Magazine (January 1907-May 1933), Economist (1933-1962), Financial Times (1950-); Journal of the Institute of Actuaries, (LXII), part 2, no. 304, pp. 321-331, New York Stock Exchange Bulletin (1929-1938), Central Statistical Office Annual Abstract of Statistics, London: CSO (1939-1988), Eurostat (1989-) <BR>Notes: The stock index uses Bank of England shares exclusively from 1694 to 1707, Bank of England Shares and East Indies Co. from 1708 to March 1874, and Bank of England shares exclusively from April 1874 to 1922. From 1923 until 1929, an index of stock yields using 5% as the base was used, and from 1930 on actual dividend yields are used. Yield data from 1923 until the present were calculated by the Actuaries for a broad index of shares. The stock price index uses the Banker's Magazine Index of All Variable Dividend shares from 1922 until 1932, the Actuaries General Share index from 1932 to 1962 and the All-Share index from 1964 on.  The Financial Times now calculates a total return index; however, this index only dates back to 1992.",
Date,Ticker,Open,High,Low,Close,Volume,Openint
12/25/1986,_TFTASD,460.787,460.787,460.787,460.787,0,
12/26/1986,_TFTASD,460.787,460.787,460.787,460.787,0,
12/29/1986,_TFTASD,462.386,462.386,462.386,462.386,0,
12/30/1986,_TFTASD,462.837,462.837,462.837,462.837,0,
12/31/1986,_TFTASD,464.327,464.327,464.327,464.327,0,
01/01/1987,_TFTASD,464.327,464.327,464.327,464.327,0,
01/02/1987,_TFTASD,464.777,464.777,464.777,464.777,0,
01/05/1987,_TFTASD,465.572,465.572,465.572,465.572,0,
01/06/1987,_TFTASD,468.272,468.272,468.272,468.272,0,
01/07/1987,_TFTASD,476.103,476.103,476.103,476.103,0,
01/08/1987,_TFTASD,479.932,479.932,479.932,479.932,0,
01/09/1987,_TFTASD,485.473,485.473,485.473,485.473,0,
01/12/1987,_TFTASD,486.842,486.842,486.842,486.842,0,
01/13/1987,_TFTASD,488.937,488.937,488.937,488.937,0,
01/14/1987,_TFTASD,489.015,489.015,489.015,489.015,0,
01/15/1987,_TFTASD,495.002,495.002,495.002,495.002,0,
01/16/1987,_TFTASD,495.535,495.535,495.535,495.535,0,
01/19/1987,_TFTASD,492.923,492.923,492.923,492.923,0,
01/20/1987,_TFTASD,493.518,493.518,493.518,493.518,0,
01/21/1987,_TFTASD,489.104,489.104,489.104,489.104,0,
01/22/1987,_TFTASD,493.079,493.079,493.079,493.079,0,
01/23/1987,_TFTASD,498.126,498.126,498.126,498.126,0,
01/26/1987,_TFTASD,495.089,495.089,495.089,495.089,0,
01/27/1987,_TFTASD,503.01,503.01,503.01,503.01,0,
01/28/1987,_TFTASD,503.083,503.083,503.083,503.083,0,
01/29/1987,_TFTASD,500.168,500.168,500.168,500.168,0,
01/30/1987,_TFTASD,502.499,502.499,502.499,502.499,0,
02/02/1987,_TFTASD,508.274,508.274,508.274,508.274,0,
02/03/1987,_TFTASD,507.439,507.439,507.439,507.439,0,
02/04/1987,_TFTASD,511.038,511.038,511.038,511.038,0,
02/05/1987,_TFTASD,515.416,515.416,515.416,515.416,0,
02/06/1987,_TFTASD,523.578,523.578,523.578,523.578,0,
02/09/1987,_TFTASD,527.215,527.215,527.215,527.215,0,
02/10/1987,_TFTASD,518.972,518.972,518.972,518.972,0,
02/11/1987,_TFTASD,523.992,523.992,523.992,523.992,0,
02/12/1987,_TFTASD,520.82,520.82,520.82,520.82,0,
02/13/1987,_TFTASD,525.389,525.389,525.389,525.389,0,
02/16/1987,_TFTASD,532.448,532.448,532.448,532.448,0,
02/17/1987,_TFTASD,537.045,537.045,537.045,537.045,0,
02/18/1987,_TFTASD,540.536,540.536,540.536,540.536,0,
02/19/1987,_TFTASD,534.802,534.802,534.802,534.802,0,
02/20/1987,_TFTASD,542.328,542.328,542.328,542.328,0,
02/23/1987,_TFTASD,538.974,538.974,538.974,538.974,0,
02/24/1987,_TFTASD,540.323,540.323,540.323,540.323,0,
02/25/1987,_TFTASD,546.645,546.645,546.645,546.645,0,
02/26/1987,_TFTASD,548.477,548.477,548.477,548.477,0,
02/27/1987,_TFTASD,548.606,548.606,548.606,548.606,0,
03/02/1987,_TFTASD,550.352,550.352,550.352,550.352,0,
03/03/1987,_TFTASD,553.901,553.901,553.901,553.901,0,
03/04/1987,_TFTASD,555.351,555.351,555.351,555.351,0,
03/05/1987,_TFTASD,555.374,555.374,555.374,555.374,0,
03/06/1987,_TFTASD,554.329,554.329,554.329,554.329,0,
03/09/1987,_TFTASD,550.318,550.318,550.318,550.318,0,
03/10/1987,_TFTASD,553.591,553.591,553.591,553.591,0,
03/11/1987,_TFTASD,552.241,552.241,552.241,552.241,0,
03/12/1987,_TFTASD,554.838,554.838,554.838,554.838,0,
03/13/1987,_TFTASD,557.825,557.825,557.825,557.825,0,
03/16/1987,_TFTASD,556.214,556.214,556.214,556.214,0,
03/17/1987,_TFTASD,559.979,559.979,559.979,559.979,0,
03/18/1987,_TFTASD,559.945,559.945,559.945,559.945,0,
03/19/1987,_TFTASD,556.382,556.382,556.382,556.382,0,
03/20/1987,_TFTASD,563.065,563.065,563.065,563.065,0,
03/23/1987,_TFTASD,568.819,568.819,568.819,568.819,0,
03/24/1987,_TFTASD,575.433,575.433,575.433,575.433,0,
03/25/1987,_TFTASD,572.754,572.754,572.754,572.754,0,
03/26/1987,_TFTASD,571.452,571.452,571.452,571.452,0,
03/27/1987,_TFTASD,574.636,574.636,574.636,574.636,0,
03/30/1987,_TFTASD,562.915,562.915,562.915,562.915,0,
03/31/1987,_TFTASD,560.6,560.6,560.6,560.6,0,
04/01/1987,_TFTASD,554.294,554.294,554.294,554.294,0,
04/02/1987,_TFTASD,558.594,558.594,558.594,558.594,0,
04/03/1987,_TFTASD,552.762,552.762,552.762,552.762,0,
04/06/1987,_TFTASD,560.4,560.4,560.4,560.4,0,
04/07/1987,_TFTASD,559.888,559.888,559.888,559.888,0,
04/08/1987,_TFTASD,557.078,557.078,557.078,557.078,0,
04/09/1987,_TFTASD,554.57,554.57,554.57,554.57,0,
04/10/1987,_TFTASD,547.791,547.791,547.791,547.791,0,
04/13/1987,_TFTASD,542.287,542.287,542.287,542.287,0,
04/14/1987,_TFTASD,539.865,539.865,539.865,539.865,0,
04/15/1987,_TFTASD,543.591,543.591,543.591,543.591,0,
04/16/1987,_TFTASD,550.416,550.416,550.416,550.416,0,
04/17/1987,_TFTASD,550.416,550.416,550.416,550.416,0,
