DATE,BAB
01/03/1933,0.018160886
01/04/1933,-0.034529051
01/05/1933,-0.012427941
01/06/1933,-0.006034862
01/09/1933,-0.002960677
01/10/1933,-0.025930432
01/11/1933,-0.010863669
01/12/1933,0.005084671
01/13/1933,0.040060098
01/14/1933,0.002618272
01/16/1933,0.006803488
01/17/1933,0.016330013
01/18/1933,0.009581679
01/19/1933,-0.014443348
01/20/1933,-0.004240276
01/21/1933,0.009156307
01/23/1933,-0.012728698
01/24/1933,0.010641123
01/25/1933,0.008415995
01/26/1933,-0.005680642
01/27/1933,-0.006537872
01/28/1933,0.010545549
01/30/1933,-0.005397383
01/31/1933,0.009650225
02/01/1933,0.019081449
02/02/1933,-0.006115725
02/03/1933,0.004063493
02/04/1933,-0.003836036
02/06/1933,-0.003952236
02/07/1933,-0.001899995
02/08/1933,-0.006709958
02/09/1933,-0.022171506
02/10/1933,0.020438464
02/11/1933,-0.003447604
02/13/1933,0
02/14/1933,0.019786762
02/15/1933,0.007171881
02/16/1933,0.008252339
02/17/1933,-0.009758193
02/18/1933,-0.000503885
02/20/1933,0.004338744
02/21/1933,0.000467321
02/22/1933,0
02/23/1933,0.022211317
02/24/1933,-0.013136555
02/25/1933,0.008427924
02/27/1933,0.009414005
02/28/1933,-0.014527277
03/01/1933,-0.00909664
03/02/1933,0.008473416
03/03/1933,-0.037525263
03/06/1933,0
03/07/1933,0
03/08/1933,0
03/09/1933,0
03/10/1933,0
03/13/1933,0
03/14/1933,0
03/15/1933,-0.061244252
03/16/1933,-0.005602035
03/17/1933,0.010691346
03/18/1933,0.03196921
03/20/1933,0.017320007
03/21/1933,0.033780207
03/22/1933,-0.012751601
03/23/1933,-0.014189034
03/24/1933,0.012074239
03/25/1933,0.005533167
03/27/1933,0.008963051
03/28/1933,0.000374075
03/29/1933,0.012522868
03/30/1933,0.009359536
03/31/1933,0.009942829
04/01/1933,-0.005141823
04/03/1933,0.000544953
04/04/1933,-0.012121792
04/05/1933,0.015641438
